,sessionID,userQuestion,class,searchResultsWithScore,selectedID
dialog_2019-08-21T14-17-47.511_C3EBE671BB51C24AA2E002B572162A38.xml,Ich ziehe nach Berlin am 24.08.2019 um. Darf ich ohne Anmeldung für Anschrift Änderung kommen?,SERVICE_SELECTION_REQUEST,1.) Anmeldung einer Wohnung (120686) (Score: 87.999690)<br />2.) Anschriftenänderung in dem Fahrzeugschein bzw. der Zulassungsbescheinigung Teil I (ZBI) (120658) (Score: 66.601814)<br />3.) Änderung/Wechsel der Hauptwohnung (120697) (Score: 52.899666)<br />4.) Abmeldung einer Wohnung (120335) (Score: 36.557228)<br />5.) Namensänderung in den Fahrzeugpapieren (324173) (Score: 35.686480)<br />6.) Gewerbe - Anmeldung (121921) (Score: 34.132416),de,120686
dialog_2019-08-26T18-25-17.552_9C9117E93E4DD3E40F140E8887760922.xml,personalausweis beantragen,SERVICE_SELECTION_REQUEST,"1.) Personalausweis beantragen (120703) (Score: 74.890260)<br />2.) Verlust des Personalausweises melden (Verlustanzeige) (120726) (Score: 56.892704)<br />3.) Personalausweis vorläufig beantragen (120682) (Score: 56.330074)<br />4.) Personalausweis abholen (324325) (Score: 37.197357)<br />5.) Personalausweis, vorläufig, für Berliner Einwohner ohne feste Wohnung bzw. für Personen, die außerhalb von Berlin gemeldet sind (306684) (Score: 29.859623)<br />6.) Personalausweis für in Berlin nicht gemeldete Personen, Touristen und Deutsche mit Wohnsitz im Ausland (326550) (Score: 29.374180)",de,120703
dialog_2019-08-08T05-23-33.653_07E4DDC563EA8D4D9079B05F56BF8FDF.xml,Ist irgendwie ein Termin frei zum Auto ummelden,SERVICE_SELECTION_REQUEST,"1.) Kraftfahrzeug ummelden  nach einem Umzug nach Berlin (120918) (Score: 51.195190)<br />2.) Kraftfahrzeug außer Betrieb setzen (Kfz abmelden) (120877) (Score: 35.620045)<br />3.) Neufahrzeug anmelden (120882) (Score: 30.452448)<br />4.) Wiederzulassung eines Kraftfahrzeuges ohne Halterwechsel beantragen (120905) (Score: 30.336830)<br />5.) Kraftfahrzeug - Umsetzungen (324190) (Score: 29.902935)<br />6.) Kraftfahrzeug außer Betrieb setzen, unvollständige Unterlagen (Kfz abmelden) (325881) (Score: 28.405401)",de,120918
dialog_2019-08-26T07-12-39.465_0EF3B8F17C18471BF336B2CCCE96AE4D.xml,Termin suchen,SERVICE_SELECTION_REQUEST,1.) Gewerberegisterauszug - schriftliche Auskunft (328542) (Score: 7.300520)<br />2.) Gewerberegisterauszug - elektronische eAuskunft (326157) (Score: 7.047793)<br />3.) Meldebescheinigung beantragen (120702) (Score: 6.449931)<br />4.) Melderegisterauskunft einholen (120732) (Score: 5.767189)<br />5.) Begutachtung von sichergestellten Fahrzeugen (nur für bestellte Gutachter und Versicherungen) (326425) (Score: 5.763981)<br />6.) Melderegisterauskunft online für Einzelabfrager (318913) (Score: 5.651263),de,0
dialog_2019-08-26T11-03-28.331_11773BF9B3A82C62A92FA2C161017128.xml,Bearbeitung dauer ,SERVICE_SELECTION_REQUEST,1.) Service-Konto Berlin Sicherheitsstufe 2  Hochstufung bzw. Bearbeitung der Nutzerdaten (328086) (Score: 13.885179),de,328086
dialog_2019-08-02T18-06-45.944_8E665F44C0DAB322A0A9C07372C90743.xml,Ich brauchen einen Termin am 16.9.19 in der puttkamerstr,ANSWER,,de,"<span class=""bitter-bold-italic"">Termine</span> können Sie gerne online auf der Webseite vereinbaren:"
dialog_2019-08-11T12-38-04.86_5B68809A602972B6A29331C5FE0605D2.xml,Do you speak English?,UNKNOWN_LANGUAGE_ANSWER,,de,
dialog_2019-08-16T13-43-50.228_A6412958C04311E9B3AFBBCEDB9A5351.xml,"wie heisst der berliner senator für justiz, verbraucherschutz und antidiskriminierung",EXTERN_ANSWER,"1.) Senatsverwaltung für Justiz, Verbraucherschutz und Antidiskriminierung (32507923) (Score: 33.699120)<br />2.) Bundesministerium der Justiz und für Verbraucherschutz (32507935) (Score: 22.201578)",de,-
dialog_2019-08-05T14-59-59.146_A4F838330712476F7C29066DAF0C54A5.xml,was kostet in berlin der vorläufige führerschein?,SERVICE_SELECTION_REQUEST,1.) Ersatzführerschein nach Verlust/Diebstahl (121593) (Score: 47.148586)<br />2.) Umstellung der Fahrerlaubnis (124556) (Score: 44.606796)<br />3.) Umschreibung einer ausländischen Fahrerlaubnis aus einem EU-/EWR-Staat (121598) (Score: 42.264297)<br />4.) Verlängerung der Fahrerlaubnis (121634) (Score: 38.665040)<br />5.) Umtausch eines Kartenführerscheins (121616) (Score: 36.688072)<br />6.) Internationaler Führerschein (121591) (Score: 36.577070),de,121593
dialog_2019-08-14T17-01-33.106_122087698D0A78036CCC42BD3044467B.xml,Gibt freie termine diese Samstag zum Wohnung Anmeldung,SERVICE_SELECTION_REQUEST,1.) Anmeldung einer Wohnung (120686) (Score: 100.699036)<br />2.) Änderung/Wechsel der Hauptwohnung (120697) (Score: 41.257202)<br />3.) Abmeldung einer Wohnung (120335) (Score: 38.273823)<br />4.) Zweitwohnungsteuer bezahlen (121859) (Score: 37.501990)<br />5.) Gewerbe - Anmeldung (121921) (Score: 34.087290)<br />6.) Wohnberechtigungsschein - WBS - Antragsannahme (120671) (Score: 30.007647),de,120686
dialog_2019-08-26T14-13-51.811_7F7DDA898A173CE35689DFC41EAF0FDD.xml,Meine Tochter braucht eine amtlich beglaubigte Kopie ihres Abiturzeugnisses bis Ende der Woche,SERVICE_SELECTION_REQUEST,1.) Beglaubigung von Kopien (121701) (Score: 22.302156)<br />2.) Beglaubigung von Urkunden für das Ausland (Apostille/Legalisation) (320315) (Score: 15.614527)<br />3.) Erbrecht - Rückgabe von Testamenten und Erbverträgen aus der besonderen amtlichen Verwahrung (327675) (Score: 15.306248)<br />4.) Reisegewerbe Erlaubnis (121916) (Score: 15.226519)<br />5.) Beglaubigung von Unterschriften (158142) (Score: 15.128449)<br />6.) Schwerbehinderung - Akteneinsicht (325159) (Score: 14.380053),de,121701
dialog_2019-08-06T16-13-02.233_B03C87B0FCA5AD71A5F868711B6D34CA.xml,termin Bestätigung,SMALLTALK_ANSWER,,de,"Wenn Sie Ihre Termindaten vergessen haben, können Sie das Behördentelefon 115 anrufen. Dort werden Sie nach den hinterlegten Daten gefragt (z.B. Name, E-Mail-Adresse)."
dialog_2019-08-05T06-23-35.348_10C7CB77424BF2D357B1E16CDD8AF803.xml,Sofort Termin ,ANSWER,,de,"<span class=""bitter-bold-italic"">Termine</span> können Sie gerne online auf der Webseite vereinbaren:"
dialog_2019-08-14T17-49-24.423_D21120A53842CD278C2B2F5B65DB68F2.xml,wie lautet die {%[email]%} Adresse von der Bürgerämtern in Reinickendorf? ,SERVICE_SELECTION_REQUEST,1.) elektronischer Aufenthaltstitel (eAT) - Änderung der Adresse nach Umzug (326800) (Score: 30.584050)<br />2.) Anmeldung einer Wohnung (120686) (Score: 14.159312)<br />3.) Meldebescheinigung beantragen (120702) (Score: 13.790829)<br />4.) Gewerberegisterauszug - schriftliche Auskunft (328542) (Score: 13.712559)<br />5.) Gewerberegisterauszug - elektronische eAuskunft (326157) (Score: 13.098795)<br />6.) Grundstücksnummerierung - Durchführung (324320) (Score: 12.971937),de,-
dialog_2019-08-15T13-52-11.705_01C2C6B69F8437C39C229A4C55CFD54F.xml,mein Vater ist im Ausland verstorben was muss ich machen,SERVICE_SELECTION_REQUEST,"1.) Sterbefall im Ausland - Beratung und Nachbeurkundung eines Sterbefalls (318988) (Score: 24.774391)<br />2.) Sterbefall im Ausland - Nachbeurkundung (318989) (Score: 24.754032)<br />3.) Eheschließung - mit Auslandsbeteiligung - Auskunft, Beratung und Anmeldung (318962) (Score: 18.795523)<br />4.) Vaterschaftsanerkennung (318991) (Score: 18.768435)<br />5.) Ausbildungsförderung bei Ausbildung im Ausland (Auslands-BAföG) (325167) (Score: 18.313583)<br />6.) Geburt im Ausland - Nachbeurkundung (318959) (Score: 17.502262)",de,318988
dialog_2019-08-07T09-57-31.291_2C115BD2506308072D0099B63D29BDDA.xml,Mein kind zieht von seiner mutter zu mir nach berlin. Kann ich die ummeldung allein machen?,SERVICE_SELECTION_REQUEST,1.) Kita-Gutschein (324873) (Score: 57.950344)<br />2.) Anmeldung einer Wohnung (120686) (Score: 49.367996)<br />3.) Gewerbe - Ummeldung (122111) (Score: 39.225113)<br />4.) Änderung/Wechsel der Hauptwohnung (120697) (Score: 34.083626)<br />5.) Kindertagespflege (328158) (Score: 33.072365)<br />6.) Geburtsurkunde  Ausstellung (318960) (Score: 30.770998),de,-
dialog_2019-08-16T11-12-53.239_1135FDE467D899DFB648AEFF3A31025B.xml,PIN-Brief verloren,SERVICE_SELECTION_REQUEST,1.) Bankbrief / -zulassungsbescheinigung Teil II (297016) (Score: 38.997050)<br />2.) Zulassungsbescheinigung Teil II für KFZ wegen Verlust oder Diebstahl ersetzen (121584) (Score: 35.319830)<br />3.) Zulassungsbescheinigung Teil I für KFZ wegen Verlust oder Diebstahl ersetzen (121575) (Score: 34.353237)<br />4.) Anschriftenänderung in dem Fahrzeugschein bzw. der Zulassungsbescheinigung Teil I (ZBI) (120658) (Score: 29.999578)<br />5.) Verlorene Sachen zurückbekommen (324328) (Score: 25.604465)<br />6.) Kraftfahrzeug - Internationaler Zulassungsschein (327469) (Score: 23.703018),de,-
dialog_2019-08-29T08-20-37.866_B13ADC888ECF52CEA4728019C38E4622.xml,Kraftfahrzeug außer Betrieb setzen,SERVICE_SELECTION_REQUEST,"1.) Kraftfahrzeug außer Betrieb setzen (Kfz abmelden) (120877) (Score: 85.465120)<br />2.) Kraftfahrzeug - Internetbasierte Außerbetriebsetzung (326618) (Score: 58.336906)<br />3.) Kraftfahrzeug außer Betrieb setzen, unvollständige Unterlagen (Kfz abmelden) (325881) (Score: 53.065372)<br />4.) Abmeldung einer Wohnung (120335) (Score: 42.840748)<br />5.) Kraftfahrzeug - Verkauf melden (120900) (Score: 36.479855)<br />6.) Kraftfahrzeug ummelden  nach einem Umzug nach Berlin (120918) (Score: 35.108110)",de,-
dialog_2019-08-12T14-57-54.786_C82F5F2F696E1515BC5C0455D91ACC57.xml,Kinderreisepass ,SERVICE_SELECTION_REQUEST,"1.) Kinderreisepass beantragen / verlängern / aktualisieren (121469) (Score: 48.169370)<br />2.) Kinderreisepass für in Berlin nicht gemeldete Personen, Touristen und Deutsche mit Wohnsitz im Ausland (326548) (Score: 34.073757)<br />3.) Reisepass für in Berlin nicht gemeldete Personen, Touristen und Deutsche mit Wohnsitz im Ausland (306704) (Score: 16.512732)",de,121469
dialog_2019-08-13T09-39-42.1_6A7089F4025D58904124EE6F38B7FD19.xml,Ich brauche 2 Termine in der Puttkammer str.,SERVICE_SELECTION_REQUEST,"1.) Handwerk - Gestattung zur Erbringung vorübergehender grenzüberschreitender Dienstleistungen in zulassungspflichtigen Handwerken (302439) (Score: 8.338521)<br />2.) Versicherungsberater - Erlaubnis (327717) (Score: 6.659980)<br />3.) Kraftfahrzeug - Internetbasierte Wiederzulassung auf denselben Halter, im selben Zulassungsbezirk (327897) (Score: 6.518641)<br />4.) Service-Konto Berlin Sicherheitsstufe 2  Hochstufung bzw. Bearbeitung der Nutzerdaten (328086) (Score: 6.363925)",de,-
dialog_2019-08-26T06-50-39.127_A6F37C288297651CDDF208FEFD794ABE.xml,Ich habe meine Vorgangsnummer vergessen,SMALLTALK_ANSWER,,de,"Wenn Sie Ihre Termindaten vergessen haben, können Sie das Behördentelefon 115 anrufen. Dort werden Sie nach den hinterlegten Daten gefragt (z.B. Name, E-Mail-Adresse)."
dialog_2019-08-18T18-30-53.157_7AB50CA97E7CB1CF152D9122145DC3E2.xml,auto anmelden in berlin,SERVICE_SELECTION_REQUEST,1.) Neufahrzeug anmelden (120882) (Score: 43.075800)<br />2.) Wiederzulassung eines Kraftfahrzeuges ohne Halterwechsel beantragen (120905) (Score: 41.724293)<br />3.) Kraftfahrzeug ummelden  nach einem Umzug nach Berlin (120918) (Score: 39.993520)<br />4.) Anmeldung einer Wohnung (120686) (Score: 37.456543)<br />5.) Kraftfahrzeug außer Betrieb setzen (Kfz abmelden) (120877) (Score: 35.576015)<br />6.) Kraftfahrzeug - Umsetzungen (324190) (Score: 29.868107),de,324190
dialog_2019-08-16T10-55-22.144_3563A1136D586E6EBA98492CD273FA58.xml,Wann ist der nächste Termin in einem Bürgeramt frei?,LOCATION_SELECTION_REQUEST,1.) Bürgeramt I in Köpenick (122208) (Score: 2.168345)<br />2.) Bürgeramt Halemweg (Außenstelle) (122210) (Score: 2.168345)<br />3.) Bürgeramt Heerstraße (122217) (Score: 2.168345)<br />4.) Bürgeramt Hohenzollerndamm (122219) (Score: 2.168345)<br />5.) Bürgeramt II in Schöneweide (122226) (Score: 2.168345)<br />6.) Bürgeramt Wilmersdorfer Straße (122227) (Score: 2.168345),de,122227
dialog_2019-08-01T13-02-11.367_63D04290CC2FDD6C01D4019B3C51C5E2.xml,ich will einen termin absagen,SMALLTALK_ANSWER,,de,"Wenn Sie Ihren Termin ändern oder absagen möchte, rufen Sie bitte die <a href=https://service.berlin.de/terminvereinbarung/termin/terminaendern.php class=extern target=_blank>Termin-Ändern-Seite des Service Portals Berlin</a> auf."
dialog_2019-08-09T14-46-28.908_F2610110EB522FB0BB6C3067CA180CB6.xml,Brauche ich ein Termin zum ummelden ,SERVICE_SELECTION_REQUEST,1.) Anmeldung einer Wohnung (120686) (Score: 39.918510)<br />2.) Kraftfahrzeug ummelden  nach einem Umzug nach Berlin (120918) (Score: 32.048813)<br />3.) Gewerbe - Ummeldung (122111) (Score: 29.703028)<br />4.) Änderung/Wechsel der Hauptwohnung (120697) (Score: 23.524855)<br />5.) Abmeldung einer Wohnung (120335) (Score: 21.785190)<br />6.) Umschreibung eines zugelassenen Fahrzeuges mit Berliner Kennzeichen auf einen anderen Halter (120906) (Score: 15.714952),de,-
dialog_2019-08-21T12-41-30.711_8968C85365665D2B0E1F360EDA2765C1.xml,wie viel ist 1 + 2?,SERVICE_SELECTION_REQUEST,"1.) Handwerk - Gestattung zur Erbringung vorübergehender grenzüberschreitender Dienstleistungen in zulassungspflichtigen Handwerken (302439) (Score: 15.950467)<br />2.) Geobasisdaten, Abgabe Karte 1:5000 (324342) (Score: 15.419840)<br />3.) Aufenthaltserlaubnis für türkische Arbeitnehmer und Familienangehörige (ARB 1/80) - Verlängerung (324995) (Score: 12.380009)<br />4.) Wohnberechtigungsschein - WBS - Antragsannahme (120671) (Score: 9.017596)<br />5.) Liegenschaftskataster, Auskunft (324341) (Score: 8.654510)<br />6.) Versicherungsberater - Erlaubnis (327717) (Score: 6.667120)",de,-
dialog_2019-08-29T13-49-13.764_E544CB244814A1AF014C20E1F9FF6996.xml,Wer ist der aktuelle Oberbürgermeister?,EXTERN_ANSWER,1.) Rathaus Aktuell (3252971) (Score: 14.016718)<br />2.) Aktuelle Ereignisse (3252890) (Score: 12.731676)<br />3.) Europa Aktuell - Veranstaltungskalender (3251250) (Score: 11.655954)<br />4.) Bundesrat - Aktuelles aus der Bundesratssitzung (32529112) (Score: 11.456266),de,-
dialog_2019-08-08T09-09-19.894_E4560D0E781A715BBA072212FE64922C.xml,Wann werden Termine für die Einbürgerung freigeschaltet?,SMALLTALK_ANSWER,,de,"Die Freischaltung neuer Termine erfolgt dezentral anhand der Planung der jewiligen Ämter. Es erfolgt keine gebündelte Freischaltung neuer Termine zu einem konkreten Zeitpunkt. Da es aber immer auch Terminabsagen gibt, können kurzfristig Termine frei werden."
dialog_2019-08-15T00-22-38.513_CD5CB180C6ADADC25664016D56D8FC3E.xml,Can I do the Anmeldung without an appointment?,SERVICE_SELECTION_REQUEST,"1.) Registration of an apartment (120686) (score: 41.230300)<br />2.) Trade - Registration (121921) (score: 34.087290)<br />3.) Foundations - tax registration of enterprises, companies, associations, trades, self-employment or agricultural and forestry activities (325409) (score: 21.706260)<br />4.) Income tax registration (326287) (score: 21.640831)<br />5.) Marriage - with foreign participation - information, advice and registration (318962) (score: 21.640831) 5.) Marriage - with foreign participation - information, advice and registration (318962) (score: 121921) (score: 34.087290)",en,0
dialog_2019-08-07T08-09-02.689_01640DD5D9F43CEE2489B90B85BFA472.xml,ich möchte gerne eine zulassungsstelle kontaktieren,LOCATION_SELECTION_REQUEST,1.) Kfz-Zulassungsbehörde-Lichtenberg (121362) (Score: 9.124905)<br />2.) Kfz-Zulassungsbehörde-Friedr.-Kreuzberg (121364) (Score: 9.124905)<br />3.) Kfz-Zulassungsbehörde - Berlin Lichtenberg - Ausfuhrkennzeichen (324315) (Score: 9.124905)<br />4.) Kfz-Zulassungsbehörde-Friedr.-Kreuzberg - Rote Kennzeichen (326163) (Score: 9.124905)<br />5.) Kfz-Zulassungsbehörde-Friedr.-Kreuzberg - Wiedererfassung (327052) (Score: 9.124905),de,121364
dialog_2019-08-21T16-29-47.352_5C3F1990911D4F50D2332AD14FB2AD0B.xml,Sind noch Termine in irgendeinem Bürgeramt am 30.8. frei?,LOCATION_SELECTION_REQUEST,1.) Bürgeramt I in Köpenick (122208) (Score: 2.168345)<br />2.) Bürgeramt Halemweg (Außenstelle) (122210) (Score: 2.168345)<br />3.) Bürgeramt Heerstraße (122217) (Score: 2.168345)<br />4.) Bürgeramt Hohenzollerndamm (122219) (Score: 2.168345)<br />5.) Bürgeramt II in Schöneweide (122226) (Score: 2.168345)<br />6.) Bürgeramt Wilmersdorfer Straße (122227) (Score: 2.168345),de,122208
dialog_2019-08-18T19-05-43.135_D741362BCF3E7BBA789D4172979438D1.xml,Reisepass ,SERVICE_SELECTION_REQUEST,"1.) Reisepass beantragen (121151) (Score: 55.819410)<br />2.) Kinderreisepass beantragen / verlängern / aktualisieren (121469) (Score: 53.546192)<br />3.) Reisepass beantragen (vorläufiger Reisepass) (121153) (Score: 50.425747)<br />4.) Reisepass abholen (324573) (Score: 43.537773)<br />5.) Reisepassverlust (121368) (Score: 39.342350)<br />6.) Reisepass für in Berlin nicht gemeldete Personen, Touristen und Deutsche mit Wohnsitz im Ausland (306704) (Score: 38.750960)",de,121151
dialog_2019-08-15T17-02-29.881_01B89EF0532997056A7F93DEC3456390.xml,Brauche eine meldebestätigung für mein sohn,SERVICE_SELECTION_REQUEST,1.) Meldebescheinigung beantragen (120702) (Score: 21.925247)<br />2.) Geburtsurkunde  Ausstellung (318960) (Score: 12.292630)<br />3.) Geburtsurkunde - Erstbeurkundung - Anzeige (318957) (Score: 11.843718),de,0
dialog_2019-08-25T07-54-37.282_A0DCC5E9FD56F18E82598E1C8AED95E0.xml,Termin Standesamt Pankow,LOCATION_SELECTION_REQUEST,1.) Standesamt Pankow - Eheregister und Lebenspartnerschaftsregister (122913) (Score: 5.221929)<br />2.) Standesamt Pankow (326147) (Score: 5.221929)<br />3.) Standesamt Pankow - Geburten (326682) (Score: 5.221929)<br />4.) Standesamt Pankow - Sterberegister (326684) (Score: 5.221929)<br />5.) Standesamt Pankow - Urkundenstelle und Namenserklärungen (326686) (Score: 5.221929)<br />6.) Standesamt Pankow - Einbürgerung / Staatsangehörigkeitsangelegenheiten (327427) (Score: 5.221929),de,122913
dialog_2019-08-03T13-32-15.148_305767D1D130CCBBB508B98B95B2C0FA.xml,Termin vereinbaren,ANSWER,,de,"<span class=""bitter-bold-italic"">Termine</span> können Sie gerne online auf der Webseite vereinbaren:"
dialog_2019-08-25T17-13-02.097_D87361ACA37DD8959829AFBB2F9BDD29.xml,Personalausweis  termin,SERVICE_SELECTION_REQUEST,"1.) Personalausweis beantragen (120703) (Score: 74.890260)<br />2.) Verlust des Personalausweises melden (Verlustanzeige) (120726) (Score: 56.892704)<br />3.) Personalausweis vorläufig beantragen (120682) (Score: 56.330074)<br />4.) Personalausweis abholen (324325) (Score: 37.197357)<br />5.) Personalausweis, vorläufig, für Berliner Einwohner ohne feste Wohnung bzw. für Personen, die außerhalb von Berlin gemeldet sind (306684) (Score: 29.859623)<br />6.) Personalausweis für in Berlin nicht gemeldete Personen, Touristen und Deutsche mit Wohnsitz im Ausland (326550) (Score: 29.374180)",de,120703
dialog_2019-08-15T19-55-18.427_7C2DE008BF6E64EB1FB59EB8A764C652.xml,Habe meinen Termin vergessen und aus versehen die Email gelöscht wie kann ich ihn rausfinden ,SERVICE_SELECTION_REQUEST,1.) Kraftfahrzeug - Wiederzulassung eines länger als 7 Jahre abgemeldeten Fahrzeugs (328837) (Score: 9.594410),de,-
dialog_2019-08-07T18-26-44.237_2ECC022FCBB893DF1D92906E2AFBC5FC.xml,Certificate of marital status ,SERVICE_SELECTION_REQUEST,1.) Ausstellung einer Unbedenklichkeitsbescheinigung (Certificate of good standing) (325601) (Score: 65.458690)<br />2.) Baugenehmigung  Sachstandabfrage (326710) (Score: 14.995466),de,-
dialog_2019-08-19T07-01-19.059_452BA8BB78E4AC1E1BD422B6015998AA.xml,Termine Führungszeugnis,SERVICE_SELECTION_REQUEST,"1.) Führungszeugnis (120926) (Score: 38.796380)<br />2.) Ehefähigkeitszeugnis  Beratung, Antrag,  Ausstellung (318993) (Score: 6.421312)<br />3.) Ehefähigkeitszeugnis - Ausstellung (318994) (Score: 5.419035)<br />4.) Ehefähigkeitszeugnis - Ausstellung - ohne jemals Inlandswohnsitz (326195) (Score: 5.419035)",de,120926
